ENTRY,Name,MeSH,OMIM,ICD-10,ICD-11,MedlinePlus,Alias_Name,Pathway,Gene_symbol,kegg_geneID,Drug_name,kegg_drugID
H01897,Oocyte maturation defect,D007247,615774;616780;617712;617743;617996;618353;618550;619009;619011,N97.8,GA31.0Y,NA,NA,NA,ZP1;;TUBB8;;ZP3;;PATL2;;WEE2;;ZP2;;PANX1;;BTG4;;TRIP13,22917;NA;347688;NA;7784;NA;197135;NA;494551;NA;7783;NA;24145;NA;54766;NA;9319,NA,NA
H01898,PNPLA6-related disorders,C565850;C536554;D007849;C567433,245800;215470;275400;612020,Q87.8;G11.8;G11.4,NA,NA,NA,NA,PNPLA6,10908,NA,NA
H01899,Dyslexia,D004410,127700;600202,R48.0,MB4B.0,NA,NA,NA,DNAAF4;;AAVR,161582;NA;9856,NA,NA
H01900,Encephalopathy due to defective mitochondrial and peroxisomal fission,NA,614388;617086,G31.8,5C53.Y,NA,NA,NA,DNM1L;MFF,10059;56947,NA,NA
H01901,Barrett esophagus,D001471,614266,K22.7,DA23,NA,NA,NA,MSR1;CTHRC1;ASCC1,4481;115908;51008,Porfimer sodium,D03327
H01902,Brittle cornea syndrome,C536192,229200;614170,Q79.6,LD28.1Y,NA,NA,NA,ZNF469;PRDM5,84627;11107,NA,NA
H01903,Brown-Vialetto-Van Laere syndrome,NA,211530;614707,G12.1,LD2H.Y,NA,NA,NA,SLC52A3;SLC52A2,113278;79581,NA,NA
H01904,Microphthalmia with linear skin defects syndrome,C537466,309801;300887;300952,Q89.7,LD21.0,NA,Linear skin defects with multiple congenital anomalies;MIDAS syndrome,NA,HCCS;COX7B;NDUFB11,3052;1349;54539,NA,NA
H01905,Trichomegaly,NA,190330,H02.7,LD27.0Y,NA,NA,NA,FGF5,2250,NA,NA
H01906,"Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis",NA,615704,L81.6,EC10,NA,NA,NA,FAM111B,374393,NA,NA
H01907,Acid-labile subunit deficiency,NA,615961,E34.3,5A61.0,NA,NA,NA,IGFALS,3483,NA,NA
H01908,Carey-Fineman-Ziter syndrome,C536102,254940,Q87.0,LD2F.1Y,NA,NA,NA,MYMK,389827,NA,NA
H01909,Hypoinsulinemic hypoglycemia with hemihypertrophy,NA,240900,NA,5A41;LD2C,NA,NA,NA,AKT2,208,NA,NA
H01910,Infantile myofibromatosis,NA,228550;615293,D48.1,2F23.Y,NA,NA,NA,PDGFRB;NOTCH3,5159;4854,NA,NA
H01911,Syndromic autosomal recessive mental retardation,D008607,614499;613671,F78.9,6A00,NA,NA,NA,CRADD;SOBP,8738;55084,NA,NA
H01912,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",C567863,612918,Q87.3,LD2C,NA,CLOVE syndrome,NA,PIK3CA,5290,NA,NA
H01913,Renpenning syndrome,C537761,309500,Q87.5,LD90.Y,NA,NA,NA,PQBP1,10084,NA,NA
H01914,Christianson syndrome,C567484,300243,Q87.8,LD90.Y,NA,NA,NA,SLC9A6,10479,NA,NA
H01915,Borjeson-Forssman-Lehmann syndrome,C536575,301900,Q87.8,LD29,NA,NA,NA,PHF6,84295,NA,NA
H01916,Stocco dos Santos X-linked mental retardation syndrome,C537495,300434,Q87.8,LD90.Y,NA,NA,NA,SHROOM4,57477,NA,NA
H01917,CK syndrome,C563110,300831,Q87.8,LD2F.1Y,NA,NA,NA,NSDHL,50814,NA,NA
H01918,Familial autosomal recessive hypercholesterolemia,NA,603813,E78.0,5C80.00,NA,NA,NA,LDLRAP1,26119,NA,NA
H01919,Proud syndrome,C563110,300004,Q87.8,LD20.Y,NA,NA,NA,ARX,170302,NA,NA
H01920,Partington syndrome,C536300,309510,G25.9,LD90.Y,NA,NA,NA,ARX,170302,NA,NA
H01921,MICPCH syndrome,C567466,300749,Q04.3,LD20.2,NA,"Syndromic X-linked mental retardation, Najm type",NA,CASK,8573,NA,NA
H01922,Infantile hypotonia with psychomotor retardation and characteristic facies,D009123,615419;616801;616900;616816,Q87.8,LD90.Y,NA,NA,NA,NALCN;;UNC80;;TBCK;;CCDC174,259232;NA;285175;NA;93627;NA;51244,NA,NA
H01923,"Microcephaly, short stature, and impaired glucose metabolism",NA,616033;616817,Q87.8,LD2F.1Y,NA,NA,NA,TRMT10A;PPP1R15B,93587;84919,NA,NA
H01924,Sydenham chorea,D002819,NA,I02,1B42,NA,Chorea minor,NA,NA,NA,NA,NA
H01925,Transient neonatal zinc deficiency,NA,608118,E60,5B5K.2,NA,NA,NA,SLC30A2,7780,NA,NA
H01926,Ventricular septal defect,D006345,614429;614431;614432,Q21.0,LA88.4,NA,NA,NA,GATA4;CITED2;NKX2-5,2626;10370;1482,NA,NA
H01927,Van der Woude syndrome,C536528,119300;606713,Q38.0,LD2F.1Y,NA,NA,NA,IRF6;GRHL3,3664;57822,NA,NA
H01928,Smith-Kingsmore syndrome,NA,616638,NA,NA,NA,Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,NA,MTOR,2475,NA,NA
H01929,"2,4-Dienoyl-CoA reductase deficiency",C565624,616034,E71.3,5C52.01,NA,NA,NA,NADK2,133686,NA,NA
H01930,Au-Kline syndrome,NA,616580,Q87.0,LD2F.1Y,NA,NA,NA,HNRNPK,3190,NA,NA
H01931,Lethal-type popliteal pterygium syndrome,C564874,263650,Q87.2,LD26.4Y,NA,Bartsocas-Papas syndrome (BPS),NA,RIPK4,54101,NA,NA
H01932,Ablepharon-macrostomia syndrome,C535557,200110,Q87.0,LD2F.1Y,NA,NA,NA,TWIST2,117581,NA,NA
H01933,Porokeratosis,D017499,175800;175900;614714;616063;616631,Q82.8,ED52,NA,NA,NA,PMVK;MVK;MVD;SLC17A9;FDPS,10654;4598;4597;63910;2224,NA,NA
H01934,Barber-Say syndrome,C537908,209885,Q87.0,LD27.3,NA,NA,NA,TWIST2,117581,NA,NA
H01935,Familial hypercholanemia,C564336,607748,NA,DA96.02,NA,NA,NA,EPHX1;TJP2;BAAT,2052;9414;570,NA,NA
H01936,Hyperbiliverdinemia,NA,614156,K76.8,5C58.0Y,NA,NA,NA,BLVRA,644,NA,NA
H01937,"Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly",C565507,236500,Q04.3,LD20.Y,NA,Hydranencephaly with renal aplasia-dysplasia,NA,CEP55,55165,NA,NA
H01938,Hypermanganesemia with dystonia,C548016,613280;617013,NA,5C64.Y,NA,NA,NA,SLC30A10;SLC39A14,55532;23516,NA,NA
H01939,Glycogen storage disease type I,D005953,232200;232220;232240,E74.0,5C51.3,NA,Von Gierke disease,NA,G6PC;SLC37A4,2538;2542,NA,NA
H01940,Glycogen storage disease type II,D006009,232300,E74.0,5C51.3,NA,Pompe disease,NA,GAA,2548,Alglucosidase alfa,D03207
H01941,Glycogen storage disease type III,D006010,232400,E74.0,5C51.3,NA,Cori disease;Forbes disease,NA,AGL,178,NA,NA
H01942,Glycogen storage disease type IV,D006011,232500,E74.0,5C51.3,NA,Andersen disease,NA,GBE1,2632,NA,NA
H01943,Glycogen storage disease type V,D006012,232600,E74.0,5C51.3,NA,McArdle disease,NA,PYGM,5837,NA,NA
H01944,Glycogen storage disease type VI,D006013,232700,E74.0,5C51.3,NA,Hers disease,NA,PYGL,5836,NA,NA
H01945,Glycogen storage disease type VII,D006014,232800,E74.0,5C51.3,NA,Tarui disease,NA,PFKM,5213,NA,NA
H01946,Glycogen storage disease type XI,C538133,612933,E74.0,5C51.3,NA,Lactate dehydrogenase A deficiency,NA,LDHA,3939,NA,NA
H01947,Fanconi-Bickel syndrome,D005198,227810,E74.0,5C51.3,NA,NA,NA,SLC2A2,6514,NA,NA
H01948,Glycogen storage disease type IX,D006015;C580130;C564485,306000;261750;613027;300559,E74.0,5C51.3,NA,Phosphorylase kinase deficiency,NA,PHKA2;PHKB;PHKG2;PHKA1,5256;5257;5261;5255,NA,NA
H01949,Glycogen storage disease type 0b,C566917,611556,E74.0,5C51.3,NA,Muscle glycogen synthase deficiency,NA,GYS1,2997,NA,NA
H01950,Glycogen storage disease type 0a,C565485,240600,E74.0,5C51.3,NA,Liver glycogen synthase deficiency,NA,GYS2,2998,NA,NA
H01951,Glycogen storage disease type X,C536176,261670,E74.0,5C51.3,NA,NA,NA,PGAM2,5224,NA,NA
H01952,Glycogen storage disease type XII,C562718,611881,E74.0,5C51.3,NA,NA,NA,ALDOA,226,NA,NA
H01953,Glycogen storage disease type XIII,C567861,612932,E74.0,5C51.3,NA,NA,NA,ENO3,2027,NA,NA
H01954,Glycogen storage disease type XIV,C567859,614921,E74.0,5C51.3,NA,Congenital disorder of glycosylation type It,NA,PGM1,5236,NA,NA
H01955,Glycogen storage disease type XV,NA,613507,E74.0,5C51.3,NA,NA,NA,GYG1,2992,NA,NA
H01956,Glycogen storage disease of heart,C564888,261740,E74.0,5C51.3,NA,NA,NA,PRKAG2,51422,NA,NA
H01957,Fukuyama congenital muscular dystrophy,D058494,253800,G71.2,8C70.6,NA,NA,NA,FKTN,2218,NA,NA
H01958,Merosin-deficient congenital muscular dystrophy,C537384,607855,G71.2,8C70.6,NA,NA,NA,LAMA2,3908,NA,NA
H01959,Muscular dystrophy-dystroglycanopathy type C,D049288,609308;613158;613157;611588;607155;616052;613818;616094;615352,G71.2,8C70.41,NA,NA,NA,POMT1;POMT2;POMGNT1;FKTN;FKRP;ISPD;DAG1;POMK;GMPPB,10585;29954;55624;2218;79147;729920;1605;84197;29925,NA,NA
H01960,Muscular dystrophy-dystroglycanopathy type B,D058494,613155;613156;613151;613152;606612;608840;615351,G71.2,8C70.6,NA,NA,NA,POMT1;POMT2;POMGNT1;FKTN;FKRP;LARGE;GMPPB,10585;29954;55624;2218;79147;9215;29925,NA,NA
H01961,Congenital muscular dystrophy type 1C,D058494,606612,G71.2,8C70.6,NA,NA,NA,FKRP,79147,NA,NA
H01962,Congenital muscular dystrophy type 1D,D058494,608840,G71.2,8C70.41,NA,NA,NA,LARGE,9215,NA,NA
H01963,Duchenne muscular dystrophy,D020388,310200,G71.0,8C70.1,NA,NA,NA,DMD,1756,Deflazacort;Eteplirsen;Golodirsen;Viltolarsen;Casimersen,D03671;D09900;D11707;D11528;D11988
H01964,Becker muscular dystrophy,D020388,300376,G71.0,8C70.0,NA,NA,NA,DMD,1756,NA,NA
H01965,Miyoshi myopathy,C537480;C567646;C567645,254130;613318;613319,G71.0,8C75,NA,NA,NA,DYSF;ANO5,8291;203859,NA,NA
H01966,Cartilage-hair hypoplasia,C535916;C563574,250250;250460,Q78.8,LD27.0Y,NA,"Metaphyseal dysplasia, McKusik type",NA,RMRP,6023,NA,NA
H01967,Anauxetic dysplasia,C538256,607095;617396;618853,Q77.7,LD24.3,NA,NA,NA,RMRP;POP1;NEPRO,6023;10940;25871,NA,NA
H01968,Hyper-IgE syndrome,D007589,147060;243700;618282;618523;611521;615816,D82.4,4A01.34,NA,Job syndrome;Buckley syndrome,NA,STAT3;;DOCK8;;ZNF341;;IL6ST;;TYK2;;PGM3,6774;NA;81704;NA;84905;NA;3572;NA;7297;NA;5238,NA,NA
H01969,X-linked lymphoproliferative syndrome,D008232,308240;300635,D82.3,4A01.22,NA,Duncan disease,NA,SH2D1A;XIAP,4068;331,NA,NA
H01970,Lymphoproliferative syndrome 1,C567815,613011,D82.3,4A01.22,NA,NA,NA,ITK,3702,NA,NA
H01971,IPEX syndrome,C580192,304790,E31.0,4A01.21,NA,"Immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome",NA,FOXP3,50943,NA,NA
H01972,Autoimmune polyendocrinopathy syndrome type 1,C538275,240300,E31.0,5B00,NA,Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED),hsa05340  Primary immunodeficiency,AIRE,326,NA,NA
H01973,Fertile eunuch syndrome,NA,228300,Q56.1,5A61.0,NA,Hypogonadotropic hypogonadism-23 without anosmia (HH23),NA,LHB,3972,NA,NA
H01974,Limb-girdle muscular dystrophy 2B,C535899,253601,G71.0,8C70.41,NA,NA,NA,DYSF,8291,NA,NA
H01975,Welander distal myopathy,C536690,604454,G71.0,8C75,NA,NA,NA,TIA1,7072,NA,NA
H01976,Tibial muscular dystrophy,D049310,600334,G71.0,8C75,NA,NA,NA,TTN,7273,NA,NA
H01977,Laing distal myopathy,D049310,160500,G71.0,8C75,NA,"Myopathy, distal 1 (MPD1)",NA,MYH7,4625,NA,NA
H01978,Dehydrated hereditary stomatocytosis,NA,194380;616689,D58.8,3A10.Y,NA,Hereditary xerocytosis,NA,PIEZO1;KCNN4,9780;3783,NA,NA
H01979,Overhydrated hereditary stomatocytosis,NA,185000,D58.8,3A10.Y,NA,Hereditary xerocytosis,NA,RHAG,6005,NA,NA
H01980,SCAD deficiency,C537596,201470,E71.3,5C52.01,NA,Short-chain acyl-CoA dehydrogenase deficiency;ACADS deficiency,NA,ACADS,35,NA,NA
H01981,Carnitine palmitoyltransferase I deficiency,C535588,255120,E71.4,5C52.00,NA,NA,NA,CPT1A,1374,NA,NA
H01982,Carnitine palmitoyltransferase II deficiency,C563462;C563463,600649;608836;255110,E71.4,5C52.00,NA,NA,NA,CPT2,1376,NA,NA
H01983,Carnitine-acylcarnitine translocase deficiency,C562812,212138,E71.3,5C52.00,NA,NA,NA,SLC25A20,788,NA,NA
H01984,Leopard syndrome,D044542,151100;611554;613707,Q87.8,LD2F.1Y,NA,NA,NA,PTPN11;RAF1;BRAF,5781;5894;673,NA,NA
H01985,Desmoplastic small round cell tumor,D058405,NA,C49.9,2B5K,NA,NA,NA,EWSR1-WT1;MET;PIK3CA,7490;4233;5290,NA,NA
H01986,Legius syndrome,C548032,611431,Q85.0,LD27.5,NA,NA,NA,SPRED1,161742,NA,NA
H01987,Familial dysautonomia,D004402,223900,G90.1,8C21.1,NA,Riley-Day syndrome;Hereditary sensory and autonomic neuropathy type 3,NA,ELP1,8518,NA,NA
H01988,Jackson-Weiss syndrome,C537559,123150,Q87.8,LD24.GY,NA,NA,NA,FGFR1;FGFR2,2260;2263,NA,NA
H01989,Beare-Stevenson syndrome,C565129,123790,Q87.8,LD24.GY,NA,Beare-Stevenson cutis gyrata syndrome,NA,FGFR2,2263,NA,NA
H01990,Muenke syndrome,C537369,602849,Q87.0,LD24.GY,NA,Muenke craniosynostosis,NA,FGFR3,2261,NA,NA
H01991,Saethre-Chotzen syndrome,D000168,101400,Q87.0,LD24.GY,NA,NA,NA,TWIST1;FGFR2,7291;2263,NA,NA
H01992,Craniofrontonasal syndrome,C536456,304110,Q87.1,LD24.GY,NA,Craniofrontonasal dysplasia,NA,EFNB1,1947,NA,NA
H01993,Baller-Gerold syndrome,C536788,218600,Q75.0,LD24.GY,NA,NA,NA,RECQL4,9401,NA,NA
H01994,Lafora disease,D020192,254780,G40.3,8A61.41,NA,NA,NA,EPM2A;NHLRC1,7957;378884,NA,NA
H01995,Unverricht-Lundborg disease,D020194,254800,G40.3,8A61.41,NA,"Epilepsy, progressive myoclonic 1",NA,CSTB,1476,NA,NA
H01996,Pyruvate dehydrogenase phosphatase deficiency,C536258,608782,E74.4,5C53.02,NA,NA,NA,PDP1,54704,NA,NA
H01997,Pyruvate dehydrogenase E1-alpha deficiency,C564071,312170,E74.4,5C53.02,NA,NA,NA,PDHA1,5160,NA,NA
H01998,Pyruvate dehydrogenase E1-beta deficiency,C566729,614111,E74.4,5C53.02,NA,NA,NA,PDHB,5162,NA,NA
H01999,Pyruvate dehydrogenase E2 deficiency,C565448,245348,E74.4,5C53.02,NA,NA,NA,DLAT,1737,NA,NA
H02000,Dihydrolipoamide dehydrogenase deficiency,C573012,246900,E71.0,5C53.02,NA,E3 deficiency;Maple syrup urine disease type III,NA,DLD,1738,NA,NA
H02001,Familial pseudohyperkalemia,NA,194380;609153,D58.8,3A10.3,NA,NA,NA,PIEZO1;ABCB6,9780;10058,NA,NA
H02002,Cryohydrocytosis,NA,185020,D58.8,3A10.Y,NA,NA,NA,SLC4A1,6521,NA,NA
H02003,Pyruvate dehydrogenase E3-binding protein deficiency,C565447,245349,E74.4,5C53.02,NA,Lacticacidemia due to PDX1 deficiency,NA,PDHX,8050,NA,NA
H02004,Fumarase deficiency,C538191,606812,E88.8,5C53.1,NA,Fumaric aciduria,NA,FH,2271,NA,NA
H02005,Mitochondrial complex II deficiency,C565375,252011,E88.4,5C53.2Y,NA,Succinate dehydrogenase deficiency;Succinate CoQ reductase deficiency,NA,SDHA;SDHD;SDHAF1,6389;6392;644096,NA,NA
H02006,Alpha-ketoglutarate dehydrogenase complex deficiency,C536582,203740;246900,E88.4,5C53.1,NA,NA,NA,OGDH;DLD,4967;1738,NA,NA
H02007,GRACILE syndrome,C537934,603358,E88.8,5C53.2Y,NA,Fellman syndrome;Finnish lethal neonatal metabolic syndrome,NA,BCS1L,617,NA,NA
H02008,Galactose-1P uridylyltransferase deficiency,D005693,230400,E74.2,5C51.40,NA,Classic galactosemia;Galactosemia type I,NA,GALT,2592,NA,NA
H02009,Galactokinase deficiency,D005693,230200,E74.2,5C51.41,NA,Galactosemia II,NA,GALK1,2584,NA,NA
H02010,Galactose epimerase deficiency,D005693,230350,E74.2,5C51.4Y,NA,Galactosemia III,NA,GALE,2582,NA,NA
H02011,Familial juvenile hyperuricemic nephropathy,NA,162000;613092;617056,E79.0,5C55.0Y,NA,NA,NA,UMOD;REN;SEC61A1,7369;5972;29927,NA,NA
H02012,Medullary cystic kidney disease,NA,174000;603860,Q61.5,GB82,NA,NA,NA,MUC1;UMOD,4582;7369,NA,NA
H02013,Glycerol kinase deficiency,D000075262,307030,E74.8,5C51.1,NA,NA,NA,GK,2710,NA,NA
H02014,Ataxia-telangiectasia-like syndrome,C565779,604391;615919,G11.3,4A01.31,NA,NA,NA,MRE11A;PCNA,4361;5111,NA,NA
H02015,LIG4 syndrome,NA,606593,D81.1,4A01.1Y,NA,NA,NA,LIG4,3981,NA,NA
H02016,Tay-Sachs disease,D013661,272800,E75.0,5C56.00,NA,GM2 gangliosidoses type I,NA,HEXA,3073,NA,NA
H02017,Sandhoff disease,D012497,268800,E75.0,5C56.00,NA,GM2 gangliosidoses type II,NA,HEXB,3074,NA,NA
H02018,Central precocious puberty,C562787,176400;615346,E30.1,5A60.3,NA,NA,NA,KISS1R;MKRN3,84634;7681,Leuprolide acetate;Triptorelin pamoate;Histrelin acetate,D00989;D06248;D02116
H02019,Familial male-limited precocious puberty,C536961,176410,E29.0,5A81.0,NA,Familial testotoxicosis;Gonadotropin-independent familial sexual precocity,NA,LHCGR,3973,NA,NA
H02020,Aromatase deficiency,C537436,613546,E25.8,5A9Y,NA,NA,NA,CYP19A1,1588,NA,NA
H02021,Chediak-Higashi syndrome,D002609,214500,E70.3,EC23.20,NA,NA,NA,LYST,1130,NA,NA
H02022,Griscelli syndrome,NA,214450;607624;609227,E70.3,NA,NA,NA,NA,MYO5A;RAB27A;MLPH,4644;5873;79083,NA,NA
H02023,Baraitser-Winter syndrome,NA,243310;614583,Q87.0,LD2F.1Y,NA,NA,NA,ACTB;ACTG1,60;71,NA,NA
H02024,Neutrophil specific granule deficiency,C562873,245480;617475,D71,4A00.0Y,NA,NA,NA,CEBPE;SMARCD2,1053;6603,NA,NA
H02025,Myeloperoxidase deficiency,C562864,254600,E80.3,4A00.0Y;5C58,NA,NA,NA,MPO,4353,NA,NA
H02026,Familial hypocalciuric hypercalcemia,D006934,145980;145981;600740,E83.5,5A51.2,NA,NA,NA,CASR;GNA11;AP2S1,846;2767;1175,NA,NA
H02027,Male hypogonadism,D007006,300068;312300;201710;238320;202110;201810;264300;201750;264600;270400;613743;160900;602668;262400;612781;173100;262650;262500;262600;262700;307200;312000;608747;613038;221750;163950;609942;610733;611553;613224;613706;151100;611554;613707;607721;613563;162200;101000;601321;611431;115150;218040;193520;162210;615355;308700;147950;244200;610628;612370;612702;146110;614837;614838;614839;614840;614841;614842;228300;614858;614880;614897;615266;615267;615269;615270;615271;616030;275100;176270,E23.0;E29.1;Q56,5A81.1,NA,NA,NA,NA,NA,Fluoxymesterone,D00327
H02030,Neonatal hyperparathyroidism,C563375,239200;618188,E21.0,5A51.Y,NA,NA,NA,CASR;TRPV6,846;55503,NA,NA
H02031,Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,NA,167320;615422;615424,G71.8,4A41.21,NA,NA,NA,VCP;HNRPA2B1;HNRNPA1,7415;3181;3178,NA,NA
H02034,Central hypothyroidism and testicular enlargement,D003409,300888,E03.1,5A61.41,NA,NA,NA,IGSF1,3547,NA,NA
H02035,Isolated growth hormone deficiency,D004393,262400;612781;173100;307200,E23.0,5A61.0,NA,NA,NA,GH1;;GHRHR;;BTK,2688;NA;2692;NA;695,NA,NA
H02036,Combined pituitary hormone deficiency,D004393,613038;262600;221750;262700;182230;613986,E23.0,5A61.0,NA,NA,NA,POU1F1;PROP1;LHX3;LHX4;HESX1;OTX2,5449;5626;8022;89884;8820;5015,NA,NA
H02037,Laron syndrome,D046150,262500,E34.3,5A61.0,NA,Growth hormone insensitivity syndrome;Pituitary dwarfism II,NA,GHR,2690,NA,NA
H02038,X-linked panhypopituitarism,D007018,312000,E23.0,5A61.0,NA,NA,NA,SOX3,6658,NA,NA
H02039,Kowarski syndrome,NA,262650,E23.0,5A61.0,NA,NA,NA,GH1,2688,NA,NA
H02040,Insulin-like growth factor I deficiency,C563867,608747,E34.3,5A61.0,NA,NA,NA,IGF1,3479,Mecasermin,D03297
H02041,Myopia,D009216,160700;608908;614167;615420;615431;615946;617238;301010;614292,H52.1,9D00.0,NA,NA,NA,SCO2;;ZNF644;;PRIMPOL;;LRPAP1;;SLC39A5;;P4HA2;;ARR3;;P3H2,9997;NA;84146;NA;201973;NA;4043;NA;283375;NA;8974;NA;407;NA;55214,NA,NA
H02042,Familial expansile osteolysis,C536335,174810,M89.5,FB86.2,NA,NA,NA,TNFRSF11A,8792,NA,NA
H02043,Capillary malformation-arteriovenous malformation,C564254,608354;618196,Q27.9,LA90.3Y,NA,NA,NA,RASA1;EPHB4,5921;2050,NA,NA
H02044,Cutaneous and mucosal venous malformation,C563977,600195,Q27.8,LC51,NA,Mucocutaneous venous malformation,NA,TEK,7010,NA,NA
H02045,Norrie disease,C537849,310600,Q15.8,LD21.Y,NA,NA,NA,NDP,4693,NA,NA
H02046,OFC syndrome,C563481,166780;615560,Q87.0,LD2F.1Y,NA,Oto-facio-cervical syndrome,NA,EYA1;PAX1,2138;5075,NA,NA
H02047,Bohring-Opitz syndrome,C537419,605039,Q87.8,LD24.GY,NA,NA,NA,ASXL1,171023,NA,NA
H02048,Larsen syndrome,NA,150250,Q74.8,LD24.E,NA,NA,NA,FLNB,2317,NA,NA
H02049,Bilateral macronodular adrenal hyperplasia,C565662,219080;615954,E27.8,5A70.Y,NA,NA,hsa04934  Cushing syndrome,ARMC5;MEN1;FH;PDE11A;GNAS1;APC;MC2R;PRKACA,79798;4221;2271;50940;2778;324;4158;5566,NA,NA
H02050,Prepubertal periodontitis,D010518,170650,K05.4,DA0C.1,NA,NA,NA,CTSC,1075,NA,NA
H02051,May-Hegglin anomaly,NA,155100,D72.0,4B0Y,NA,NA,NA,MYH9,4627,NA,NA
H02052,Sebastian syndrome,NA,605249,D72.0,3B64.01,NA,NA,NA,MYH9,4627,NA,NA
H02053,Fechtner syndrome,NA,153640,D69.4,3B64.01,NA,NA,NA,MYH9,4627,NA,NA
H02054,Crigler-Najjar syndrome,D003414,218800;606785,E80.5,5C58.00,NA,NA,NA,UGT1A1,54658,NA,NA
H02055,Gilbert syndrome,D005878,143500,E80.4,5C58.01,NA,NA,NA,UGT1A1,54658,NA,NA
H02056,Dubin-Johnson syndrome,D007566,237500,E80.6,5C58.02,NA,NA,NA,ABCC2,1244,NA,NA
H02057,Rotor syndrome,D006933,237450,E80.6,5C58.0Y,NA,NA,NA,SLCO1B1;SLCO1B3,10599;28234,NA,NA
H02058,Kohlschutter-Tonz syndrome,NA,226750,G40.8,LD27.0Y,NA,NA,NA,ROGDI,79641,NA,NA
H02059,Leptin deficiency,NA,614962,E66.8,5B81.Y,NA,NA,NA,LEP,3952,NA,NA
H02060,Leptin receptor deficiency,NA,614963,E66.8,5B81.Y,NA,NA,NA,LEPR,3953,Setmelanotide acetate,D11928
H02061,Estrogen resistance syndrome,NA,615363,E30.9,5A90,NA,NA,NA,ESR1,2099,NA,NA
H02062,Familial digital arthropathy-brachydactyly,NA,606835,M06.8,LD24.8Y,NA,NA,NA,TRPV4,59341,NA,NA
H02063,Diastrophic dysplasia,NA,NA,NA,LD24.03,NA,NA,NA,SLC26A2,1836,NA,NA
H02064,Atelosteogenesis type I and III,C535396;C579928,108720;108721,Q78.8,LD24.E,NA,NA,NA,FLNB,2317,NA,NA
H02065,Achondrogenesis type IB,C536019,600972,Q77.0,LD24.50,NA,"Achondrogenesis, Fraccaro type",NA,SLC26A2,1836,NA,NA
H02066,Achondrogenesis type II,C536017,200610,Q77.0,LD24.50,NA,"Achondrogenesis, Langer-Saldino type",NA,COL2A1,1280,NA,NA
H02067,Boomerang dysplasia,C536573,112310,Q87.1,LD24.E,NA,NA,NA,FLNB,2317,NA,NA
H02068,Hypochondroplasia,C562937,146000,Q77.4,LD24.01,NA,NA,NA,FGFR3,2261,NA,NA
H02069,SADDAN,D000130,616482,Q77.4,LD24.00,NA,Severe achondroplasia with developmental delay and acanthosis nigricans,NA,FGFR3,2261,NA,NA
H02070,Kniest dysplasia,C537207,156550,Q77.7,LD24.3,NA,NA,NA,COL2A1,1280,NA,NA
H02071,Czech dysplasia,C535766,609162,Q77.7,LD24.3,NA,NA,NA,COL2A1,1280,NA,NA
H02072,Stickler syndrome,C537492;C537493;C537494;C565177,108300;604841;184840;614134;614284,Q87.0,LD2F.1Y,NA,NA,NA,COL2A1;COL11A1;COL11A2;COL9A1;COL9A2,1280;1301;1302;1297;1298,NA,NA
H02073,Wagner syndrome,C536075,143200,H35.5,9B80,NA,NA,NA,VCAN,1462,NA,NA
H02074,Knobloch syndrome,C537209,267750,Q15.8,LD2F.1Y,NA,NA,NA,COL18A1,80781,NA,NA
H02075,Enhanced S-cone syndrome,C564835,268100,H35.5,9B70,NA,NA,NA,NR2E3,10002,NA,NA
H02077,Snowflake vitreoretinal degeneration,C536677,193230,H35.5,9B70,NA,NA,NA,KCNJ13,3769,NA,NA
H02078,Autosomal dominant vitreoretinochoroidopathy,C536352,193220,H35.5,9B70,NA,NA,NA,BEST1,7439,NA,NA
H02079,Oto-spondylo-megaepiphyseal dysplasia,C536140,184840;215150,Q77.7,LD24.3,NA,OSMED;Weissenbacher-Zweymuller syndrome,NA,COL11A2,1302,NA,NA
H02080,Fibrochondrogenesis,C562524,228520;614524,Q77.7,LD24.3,NA,NA,NA,COL11A1;COL11A2,1301;1302,NA,NA
H02081,Marshall syndrome,C536025,154780,Q87.0,LD27.0Y,NA,NA,NA,COL11A1,1301,NA,NA
H02082,Floating-Harbor syndrome,C537062,136140,Q87.8,LD2F.1Y,NA,NA,NA,SRCAP,10847,NA,NA
H02083,Focal facial dermal dysplasia,C537068,136500;227260;614974,Q82.8,LD27.0Y,NA,NA,NA,TWIST2;CYP26C1,117581;340665,NA,NA
H02084,Native American myopathy,C538343,255995,G71.2,8C72.Y,NA,NA,NA,STAC3,246329,NA,NA
H02085,Acyl-CoA dehydrogenase 9 deficiency,NA,611126,E71.3,5C52.01,NA,NA,NA,ACAD9,28976,NA,NA
H02086,Mitochondrial complex III deficiency,C565128,124000;615157;615158;615159;615160;615453;615824;615838;616111,E88.8,5C53.2Y,NA,NA,NA,BCS1L;TTC19;UQCRB;UQCRQ;UQCRC2;CYC1;UQCC2;LYRM7;UQCC3,617;54902;7381;27089;7385;1537;84300;90624;790955,NA,NA
