index,Disease_english,ICD_class,ICD10,reference,reliability,comment
KMN811,Inclusion Body Myositis,M30-M36,G72.4,who-icd,,
KMN1,Inflammatory Bowel Disease,A00-A09,K50,who-icd,,
KMN745,Influenza Infection,J10-J18,J10.1,who-icd,,
KMN259,Interferon gamma Receptor Deficiency,D80-D89,D84.8,orphanet,,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency
KMN260,Interleukin 12 Deficiency,D80-D89,D84.8,orphanet,,Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency
KMN261,Interleukin 12 Receptor Deficiency,D80-D89,D84.8,orphanet,,Mendelian susceptibility to mycobacterial diseases due to complete IL12B1 deficiency
KMN753,Interstitial Lung Disease,J80-J84,J84,who-icd,,
KMN183,Iron Deficiency Anemia,D50-D53,D50,,,
KMN723,Ischemic Heart Disease,I20-I25,I24;I25,who-icd,,
KMN724,Ischemic arrhythmia,I20-I25,I24;I25,who-icd,,
KMN352,Isolated Follicle-stimulating Hormone Deficiency,E20-E35,E23.6,orphanet,,
KMN398,Isovaleric Acidemia,E70-E90,E71.110,,,
KMN38,Kaposi's Sarcoma,C45-C49,C46,,,
KMN653,Kearns-Sayre Syndrome,G70-G73,H49.81,,,
KMN894,Klinefelter Syndrome,Q90-Q99,Q98,who-icd,,
KMN414,Krabbe's Disease,E70-E90,E75.2,who-icd,,
KMN4,Kuru,A80-A89,A81.81,,,
KMN650,Lambert-Eaton Myasthenic Syndrome,G70-G73,G73.1,orphanet,,
KMN326,Laron Syndrome,E20-E35,E34.3,orphanet,,
KMN305,Leprechaunism,E10-E14,E34.8,who-icd,,
KMN370,Leptin gene mutation,E65-E68,E66.8,orphanet,,
KMN371,Leptin receptor gene mutation,E65-E68,E66.8,kegg_disease,,
KMN156,Li-Fraumeni Syndrome,D37-D48,C97,orphanet,,
KMN826,Liddle Syndrome,N00-N08,I15.1,orphanet,,
KMN675,Limb-Girdle Muscular Dystrophy 1C,G70-G73,G71.0,orphanet,,Limb-girdle muscular dystrophy
KMN679,Limb-Girdle Muscular Dystrophy 2B,G70-G73,G71.0,orphanet,,Dysferlin-related limb-girdle muscular dystrophy R2
KMN549,Lipodystrophy,E70-E90,E88.1,who-icd,,
KMN731,Long QT Syndrome,I30-I52,I45.81,,,
KMN27,Lung Adenocarcinoma,C30-C39,C34,orphanet,,Well-differentiated fetal adenocarcinoma of the lung
KMN26,Lung Cancer,C30-C39,C34,who-icd,,
KMN29,Lung Cancer in Never Smokers,C30-C39,C34,who-icd,,
KMN827,Lupus Nephritis,N00-N08,N08.5,who-icd,,
KMN102,Lymphoplasmacytic Lymphoma,C81-C96,C83.0,who-icd,,
KMN664,MELAS Syndrome,G70-G73,E88.41,,,
KMN253,MHC Class II Deficiency,D80-D89,D81.7,orphanet,,
KMN294,MIDD,E10-E14,E13.8,orphanet,,Maternally-inherited diabetes and deafness
KMN297,MODY 1,E10-E14,E13,kegg_disease,,
KMN298,MODY 2,E10-E14,E13,kegg_disease,,
KMN299,MODY 3,E10-E14,E13,kegg_disease,,
KMN300,MODY 4,E10-E14,E13,kegg_disease,,
KMN301,MODY 5,E10-E14,E13,kegg_disease,,
KMN302,MODY 6,E10-E14,E13,kegg_disease,,
KMN778,Malabsorption Syndrome,K90-K93,K90.9,who-icd,,
KMN12,Malaria Infection,B50-B64,B52,who-icd,,
KMN272,Mannose Binding Lectin Deficiency,D80-D89,D84.8,web;cms-gov-2021,,Immunodeficiency due to conditions classified elsewhere
KMN494,Maple Syrup Urine Disease,E70-E90,E71.0,who-icd,,
KMN883,Marfan Syndrome,Q80-Q89,Q87.4,who-icd,,
KMN235,May-Hegglin Anomaly,D70-D77,D72.0,who-icd,,
KMN865,McCune-Albright Syndrome,Q65-Q79,D78.1,who-icd,,
KMN66,Medulloblastoma,C69-C72,C71.6,who-icd,,
KMN182,Megaloblastic Anemia,D50-D53,D53,who-icd,,
KMN369,Melanocortin-4 receptor gene mutation,E65-E68,E66.8,orphanet,,obesity due to Melanocortin-4 receptor gene mutation
KMN35,Melanoma,C43-C44,C43,who-icd,,
KMN834,Membranoproliferative Glomerulonephritis,N00-N08,N00.6,who-icd,,
KMN818,Metabolic Bone Disease,M80-M85,M83.4,web;cms-gov-2021,,aluminum bone disease
KMN504,Metachromatic Leukodystrophy,E70-E90,E75.25,,,
KMN81,Metastatic Tumor of Bone,C76-C80,C79.5,web;cms-gov-2021,,Secondary malignant neoplasm of bone
KMN80,Metastatic Tumor of the Liver,C76-C80,C78.7,web;cms-gov-2021,,Secondary malignant neoplasm of liver and intrahepatic bile duct
KMN850,Microcephaly,Q00-Q07,Q02,,,
KMN804,Microscopic polyangiitis,M30-M36,M31.7,,,
KMN631,Miller Fisher Syndrome,G50-G59,G61.0,who-icd,,
KMN671,Miyoshi Myopathy,G70-G73,G71.0,orphanet,,
KMN498,Molybdenum cofactor deficiency,E70-E90,E72.1,orphanet,,Sulfite oxidase deficiency due to molybdenum cofactor deficiency
KMN271,Mulibrey Nanism,D80-D89,Q87.1,orphanet,,
KMN644,Multifocal Motor Neuropathy,G50-G59,G61.82,,,
KMN870,Multiple Exostosis,Q65-Q79,Q78.6,who-icd,,
KMN122,Multiple Myeloma,C81-C96,C90.0,,,
KMN615,Multiple Sclerosis,G35-G37,G35,,,
KMN558,Multiple Sulfatase Deficiency,E70-E90,E75.2,orphanet,,
KMN612,Multiple System Atrophy,G30-G32,G23.2,who-icd,,
KMN672,Myasthenia Gravis,G70-G73,G70.0,,,
KMN114,Mycosis Fungoides,C81-C96,C84.0,,,
KMN162,Myelodysplastic Syndrome,D37-D48,D46,who-icd,,
KMN163,Myelofibrosis,D37-D48,D75.81,,,
KMN726,Myocardial Infarction,I20-I25,I21;I22,who-icd,,
KMN690,Myotonia Congenita,G70-G73,G71.12,,,
KMN383,N-Acetylglutamate Synthase Deficiency,E70-E90,E72.2,orphanet,,Hyperammonemia due to N-acetylglutamate synthase deficiency
KMN892,Nail-Patella Syndrome,Q80-Q89,Q87.2,who-icd,,
KMN660,Nemaline Myopathy,G70-G73,G71.21,,,
KMN59,Nephroblastoma,C64-C68,C64,who-icd,,
KMN837,Nephrolithiasis,N20-N23,N20.0,who-icd,,
KMN861,Nephronophthisis,Q60-Q64,Q61.5,orphanet,,
KMN269,Netherton Syndrome,D80-D89,Q80.8,orphanet,,
KMN76,Neuroblastoma,C73-C75,C74.9,who-icd,,
KMN888,Neurofibromatosis Type 1,Q80-Q89,Q85.0,orphanet,,
KMN889,Neurofibromatosis Type 2,Q80-Q89,Q85.0,orphanet,,
KMN267,Nijmegen Breakage Syndrome,D80-D89,Q87.8,orphanet,,
KMN125,Non-Hodgkin's Lymphoma,C81-C96,C85,who-icd,,
KMN727,Non-ST-Elevation Myocardial Infarction,I20-I25,I21.4,who-icd,,
KMN30,Non-Small Cell Lung Cancer,C30-C39,C34.9,web;cms-gov-2021,,Malignant neoplasm of unspecified part of unspecified bronchus or lung
KMN771,Nonalcoholic Fatty Liver Disease,K70-K77,K76.0,who-icd,,
KMN268,Nude Syndrome,D80-D89,D82.8,orphanet,,Severe combined immunodeficiency due to FOXN1 deficiency
KMN373,Obesity,E65-E68,E66,who-icd,,
KMN372,Obesity in endocrine disease,E65-E68,E66,who-icd,low,
KMN668,Oculopharyngeal Muscular Dystrophy,G70-G73,G71.0,who-icd,,
KMN69,Oligo-astrocytoma,C69-C72,C71.9,who-icd,,
KMN63,Oligoastrocytoma,C69-C72,C71.9,who-icd,,
KMN70,Oligodendroglioma,C69-C72,C71.9,who-icd,,
KMN263,Omenn Syndrome,D80-D89,D81.8,orphanet,,
KMN817,Oncogenic Osteomalacia,M80-M85,M83.8,orphanet,,
KMN406,Ornithine Transcarbamylase Deficiency,E70-E90,E72.4,who-icd,,
KMN407,Orotic Aciduria,E70-E90,D53.0;E79.8,who-icd,,
KMN795,Osteoarthritis,M15-M19,M15.9,who-icd,,
KMN867,Osteogenesis Imperfecta,Q65-Q79,Q78.0,,,
KMN871,Osteopetrosis,Q65-Q79,Q78.2,,,
KMN816,Osteoporosis,M80-M85,M80;M81;M82,who-icd,,
KMN32,Osteosarcoma,C40-C41,C41.9,who-icd,,
KMN53,Ovarian Cancer,C51-C58,C56,,,
KMN819,Paget Disease of Bone,M86-M90,M88,,,
KMN22,Pancreatic Cancer,C15-C26,C25,who-icd,,
KMN178,Pancreatic Neuroendocrine Tumor,D37-D48,E16.8,orphanet,,Neuroendocrine tumor of pancreas
KMN689,Paramyotonia Congenita,G70-G73,G71.1,who-icd,,
KMN608,Paraneoplastic Cerebellar Ataxia,G30-G32,G32.81,web;cms-gov-2021,,Cerebellar ataxia in diseases classified elsewhere
KMN609,Paraneoplastic Cerebellar Degeneration,G30-G32,G32.81,web;cms-gov-2021,,Cerebellar ataxia in diseases classified elsewhere
KMN642,Paraneoplastic Sensory Neuronopathy,G50-G59,G13,web;cms-gov-2021,,Paraneoplastic neuromyopathy and neuropathy
KMN595,Parkinson's Disease,G20-G26,G20,,,
KMN194,Paroxysmal Nocturnal Hemoglobinuria,D55-D59,D59.5,who-icd,,
KMN844,Pathologic Gynecomastia,N60-N64,N62,web;cms-gov-2021,,Hypertrophy of breast
KMN364,Pellagra,E50-E64,E52,who-icd,,
KMN13,Periodic Fever Syndrome,B50-B64,E85.0,orphanet,low,periodic fever syndrome
KMN126,Peripheral T Cell Lymphoma,C81-C96,C84.4,who-icd,,
KMN181,Pernicious Anemia,D50-D53,D51.0,who-icd,,
KMN855,Persistent Mullerian Duct syndrome,Q50-Q56,Q55.8,orphanet,,
KMN848,Persistent hyperinsulinemic hypoglycemia of infancy,P70-P74,E16.1,who-icd,,
KMN72,Pilocytic astrocytoma,C69-C72,C71.9,who-icd,,
KMN746,Pneumonia,J10-J18,J10;J11;J12;J13;J14;J15;J16;J17;J18,who-icd,,
KMN802,Polyarteritis Nodosa,M30-M36,M30.0,,,
KMN165,Polycythemia Vera,D37-D48,D45,,,
KMN896,Postural Orthostatic Tachycardia Syndrome,R00-R09,I49.8,web;cms-gov-2021,,Other specified cardiac arrhythmias
KMN881,Prader-Willi Syndrome,Q80-Q89,Q87.11,,,
KMN637,Predominant Sensory Demyelinating Neuropathy,G50-G59,G60.0,web;cms-gov-2021,,Hereditary motor and sensory neuropathy
KMN847,Preeclampsia,O10-O16,O14,who-icd,,
KMN332,Primary Aldosteronism,E20-E35,E26.0,who-icd,,
KMN769,Primary Biliary Cirrhosis,K70-K77,K74.3,,,
KMN728,Primary Pulmonary Hypertension,I26-I28,I27.0,,,
KMN71,Primitive Neuroectodermal Tumor,C69-C72,C71.9,who-icd,,
KMN868,Progressive Diaphyseal Dysplasia,Q65-Q79,Q78.3,,,
KMN770,Progressive Familial Intrahepatic Cholestasis,K70-K77,K76.8,orphanet,,
KMN599,Progressive Supranuclear Palsy,G20-G26,G23.1,who-icd,,
KMN368,Prohormone convertase 1 gene mutation,E65-E68,E66.8,orphanet,,Obesity due to prohormone convertase I deficiency
KMN467,Prolidase Deficiency,E70-E90,E72.8,orphanet,,
KMN466,Propionic Acidemia,E70-E90,E71.121,,,
KMN56,Prostate Cancer,C60-C63,C61,who-icd,,
KMN843,Prostatic hypertrophy,N40-N51,N40;N41.1,who-icd,,
KMN331,Pseudohypoparathyroidism,E20-E35,E20.1,,,
KMN783,Psoriasis,L40-L45,L40,,,
KMN757,Pulmonary Alveolar Proteinosis,J80-J84,J84.0,who-icd,,
KMN756,Pulmonary Edema,J80-J84,J81,,,
KMN270,Purine Nucleoside Phosphorylase Deficiency,D80-D89,D81.5,who-icd,,
KMN875,Pyknodysostosis,Q65-Q79,Q78.8,orphanet,,pycnodysostosis
KMN455,Pyruvate Kinase Deficiency,E70-E90,E74.4,who-icd,,
KMN296,Rabson-Mendenhall syndrome,E10-E14,E13,orphanet,,
KMN632,Refsum Disease,G50-G59,G60.1,who-icd,,
KMN821,Relapsing Polychondritis,M91-M94,M94.1,,,
KMN60,Renal Cell Carcinoma,C64-C68,C64,who-icd,,
KMN597,Restless Legs Syndrome,G20-G26,G25.81,,,
KMN738,Restrictive Cardiomyopathy,I30-I52,I42.5,who-icd,,
KMN73,Retinoblastoma,C69-C72,C69.2,who-icd,,
KMN578,Rett Syndrome,F80-F89,F84.2,who-icd,,
KMN39,Rhabdomyosarcoma,C45-C49,C49.9,who-icd,,
KMN710,Rheumatic fever,I00-I02,I00;I01;I02,who-icd,,
KMN788,Rheumatoid Arthritis,M05-M14,M06,who-icd,,
KMN503,Rotor's syndrome,E70-E90,E80.6,who-icd,,
KMN794,SAPHO Syndrome,M15-M19,M86.3,orphanet,,
KMN720,ST-Segment Elevation Myocardial Infarction,I20-I25,I21.3,web;cms-gov-2021,,ST elevation (STEMI) myocardial infarction of unspecified site
KMN424,Sandhoff's Disease,E70-E90,E75.0,who-icd,,
KMN265,Sarcoidosis,D80-D89,D86,,,
KMN864,Schimke Immuno-Osseous Dysplasia,Q65-Q79,Q77.7,orphanet,,
KMN574,Schizophrenia,F20-F29,F20,,,
KMN206,Sebastian syndrome,D65-D69,D69.4,orphanet,,
KMN636,Sensory Neuronopathy,G50-G59,G60.0,web;cms-gov-2021,,Hereditary motor and sensory neuropathy
KMN851,Septo-Optic Dysplasia,Q00-Q07,Q04.4,who-icd,,
KMN901,Severe Acute Respiratory Syndrome,U00-U49,U04,who-icd,,
KMN277,Severe Combined Immunodeficiency,D80-D89,D81,who-icd,,
KMN425,Sialidosis,E70-E90,E77.1,who-icd,,
KMN428,Sitosterolemia,E70-E90,E78.0,orphanet,,
KMN799,Sjogren's Syndrome,M30-M36,M35.0,who-icd,,
KMN25,Small Cell Lung Cancer,C30-C39,C34.9,orphanet,,
KMN592,Spinal Muscular Atrophy,G10-G13,G12,who-icd,,
KMN610,Spinocerebellar Ataxia,G30-G32,G11.1,who-icd,,
KMN28,Squamous Tumor of Lung Cancer,C30-C39,C34.9,web;cms-gov-2021,, Malignant neoplasm of unspecified part of unspecified bronchus or lung
KMN852,Subcortical ectopic gray matter,Q00-Q07,Q04.8,web;cms-gov-2021,,Other specified congenital malformations of brain
KMN899,Sudden Infant Death Syndrome,R95-R99,E95,who-icd,,
KMN279,Surrogate Light Chain Deficiency,D80-D89,NO_DATA,,,
KMN40,Synovial Sarcoma,C45-C49,C49.9,who-icd,,
KMN807,Systemic Lupus Erythematosus,M30-M36,M32,who-icd,,
KMN891,Systemic Mastocytosis,Q80-Q89,D47.02,,,
KMN808,Systemic Sclerosis,M30-M36,M34,who-icd,,
KMN254,T Cell Receptor Deficiency,D80-D89,D83.1,web;cms-gov-2021,,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
KMN436,Tangier Disease,E70-E90,E78.6,who-icd,,
KMN442,Tay-Sachs Disease,E70-E90,E75.02,,,
KMN803,Thrombotic Thrombocytopenic Purpura,M30-M36,M31.1,who-icd,,
KMN695,Tibial Muscular Dystrophy,G70-G73,G71.0,orphanet,,
KMN273,Transient Hypogammaglobulinemia of Infancy,D80-D89,D80.7,,,
KMN367,Trichothiodystrophy,E50-E64,L67.8,orphanet,,
KMN2,Tuberculosis,A15-A19,A15;A16;A17;A18;A19,who-icd,,
KMN884,Tuberous Sclerosis,Q80-Q89,Q85.1,,,
KMN62,Turcot Syndrome,C69-C72,D12.6,orphanet,,Turcot syndrome with polyposis
KMN292,Type 1 Diabetes Mellitus,E10-E14,E10,,,
KMN293,Type 2 Diabetes Mellitus,E10-E14,E11,,,
KMN295,Type A insulin resistance,E10-E14,E13,orphanet,,Insulin-resistance syndrome type A
KMN763,Ulcerative Colitis,K50-K52,K51,,,
KMN618,Unverricht-Lundborg disease,G40-G47,G40.3,who-icd,,
KMN836,Urinary Tract Obstruction,N10-N16,N13.9,who-icd,,
KMN700,Uveitis,H15-H22,H22.0,who-icd,,associated to various diseases and has multiple icd10 ids
KMN744,Venous Thrombosis,I80-I89,I82,who-icd,,associated to various diseases and has multiple icd10 ids
KMN9,Viral Hepatitis,B15-B19,B15;B16;B17;B18;B19,who-icd,,
KMN732,Viral Myocarditis,I30-I52,B33.22,,,
KMN898,Vitamin B1 responsive congenital lactic acidemia,R70-R79,NO_DATA,,,
KMN651,Welander Distal Myopathy,G70-G73,G71.0,orphanet,,"Distal myopathy, Welander type"
KMN355,Wernicke's Encephalopathy,E50-E64,E51.2,,,
KMN58,Wilms' tumor,C64-C68,C64,,,
KMN400,Wilson Disease,E70-E90,E83.0,who-icd,,
KMN262,Wiskott-Aldrich Syndrome,D80-D89,D82.0,,,
KMN256,X-Linked Agammaglobulinemia,D80-D89,D80.0,who-icd,,
KMN276,X-Linked Immunodeficiency with Hyper IgM,D80-D89,D80.5,web;cms-gov-2021,,Immunodeficiency with increased immunoglobulin M [IgM]
KMN255,X-Linked Lymphoproliferative Syndrome,D80-D89,D82.3,orphanet,,X-linked lymphoproliferative disease due to SH2D1A deficiency
KMN354,X-linked Recessive Hypophosphatemic Rickets,E50-E64,N25.8,orphanet,,dent disease
KMN849,X-linked lissencephaly,Q00-Q07,Q04.3,orphanet,,Lissencephaly type 1 due to doublecortin gene mutation
KMN887,Xeroderma pigmentosum,Q80-Q89,Q82.1,,,
KMN257,ZAP70 Tyrosine Kinase Deficiency,D80-D89,D81.1,web;cms-gov-2021,,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
KMN307,Zollinger-Ellison Syndrome,E15-E16,E16.4,who-icd,,
KMN395,alpha-Mannosidosis,E70-E90,E77.1,orphanet,,
KMN469,beta-Mannosidosis,E70-E90,E77.1,orphanet,,
KMN879,von Hippel-Lindau Syndrome,Q80-Q89,Q85.8,who-icd,,
KMN209,von Willebrand's Disease,D65-D69,D68.0,,,
