	Name	ICD10	Count	ICD_class	Disease_english
KMN616	Miller-Dieker_s_syndrome	NO_DATA	1	G40-G47	Miller-Dieker's syndrome
KMN631	Miller_Fisher_Syndrome	NO_DATA	1	G50-G59	Miller Fisher Syndrome
KMN832	Minimal_Change_Disease	NO_DATA	16	N00-N08	Minimal Change Disease
KMN106	Minimally_Differentiated_Leukemia	NO_DATA	4	C81-C96	Minimally Differentiated Leukemia
KMN663	Mitochondrial_DNA_Depletion_Myopathy	NO_DATA	7	G70-G73	Mitochondrial DNA Depletion Myopathy
KMN671	Miyoshi_Myopathy	NO_DATA	5	G70-G73	Miyoshi Myopathy
KMN498	Molybdenum_cofactor_deficiency	NO_DATA	5	E70-E90	Molybdenum cofactor deficiency
KMN123	Monocytic_Leukemia	C93	4	C81-C96	Monocytic Leukemia
KMN790	Monosodium_Urate_Gout	NO_DATA	99	M05-M14	Monosodium Urate Gout
KMN481	Mucolipidoses-II	NO_DATA	2	E70-E90	Mucolipidoses-II
KMN480	Mucolipidoses-III	NO_DATA	2	E70-E90	Mucolipidoses-III
KMN483	Mucopolysaccharidosis_IH	NO_DATA	3	E70-E90	Mucopolysaccharidosis IH
KMN482	Mucopolysaccharidosis_IH/S	NO_DATA	3	E70-E90	Mucopolysaccharidosis IH/S
KMN488	Mucopolysaccharidosis_II	NO_DATA	3	E70-E90	Mucopolysaccharidosis II
KMN484	Mucopolysaccharidosis_IIIA	NO_DATA	2	E70-E90	Mucopolysaccharidosis IIIA
KMN485	Mucopolysaccharidosis_IIIB	NO_DATA	2	E70-E90	Mucopolysaccharidosis IIIB
KMN486	Mucopolysaccharidosis_IIIC	NO_DATA	2	E70-E90	Mucopolysaccharidosis IIIC
KMN487	Mucopolysaccharidosis_IIID	NO_DATA	2	E70-E90	Mucopolysaccharidosis IIID
KMN489	Mucopolysaccharidosis_IS	NO_DATA	3	E70-E90	Mucopolysaccharidosis IS
KMN490	Mucopolysaccharidosis_IVA	NO_DATA	3	E70-E90	Mucopolysaccharidosis IVA
KMN491	Mucopolysaccharidosis_IVB	NO_DATA	1	E70-E90	Mucopolysaccharidosis IVB
KMN493	Mucopolysaccharidosis_VI	NO_DATA	2	E70-E90	Mucopolysaccharidosis VI
KMN492	Mucopolysaccharidosis_VII	NO_DATA	3	E70-E90	Mucopolysaccharidosis VII
KMN271	Mulibrey_Nanism	NO_DATA	1	D80-D89	Mulibrey Nanism
KMN644	Multifocal_Motor_Neuropathy	G61.82	2	G50-G59	Multifocal Motor Neuropathy
KMN559	Multiple_Carboxylase/Biotinidase_Deficiency	NO_DATA	10	E70-E90	Multiple Carboxylase/Biotinidase Deficiency
KMN169	Multiple_Endocrine_Neoplasia_Type_1	NO_DATA	12	D37-D48	Multiple Endocrine Neoplasia Type 1
KMN170	Multiple_Endocrine_Neoplasia_Type_2	NO_DATA	12	D37-D48	Multiple Endocrine Neoplasia Type 2
KMN870	Multiple_Exostosis	NO_DATA	2	Q65-Q79	Multiple Exostosis
KMN122	Multiple_Myeloma	C90.0	239	C81-C96	Multiple Myeloma
KMN615	Multiple_Sclerosis	G35	126	G35-G37	Multiple Sclerosis
KMN558	Multiple_Sulfatase_Deficiency	NO_DATA	3	E70-E90	Multiple Sulfatase Deficiency
KMN612	Multiple_System_Atrophy	NO_DATA	13	G30-G32	Multiple System Atrophy
KMN672	Myasthenia_Gravis	G70.0	45	G70-G73	Myasthenia Gravis
KMN234	Mycobacteria_Susceptibility	NO_DATA	27	D70-D77	Mycobacteria Susceptibility
KMN114	Mycosis_Fungoides	C84.0	24	C81-C96	Mycosis Fungoides
KMN108	Myeloblastic_Leukemia_with_Maturation	NO_DATA	7	C81-C96	Myeloblastic Leukemia with Maturation
KMN107	Myeloblastic_Leukemia_without_Maturation	NO_DATA	4	C81-C96	Myeloblastic Leukemia without Maturation
KMN162	Myelodysplastic_Syndrome	NO_DATA	62	D37-D48	Myelodysplastic Syndrome
KMN163	Myelofibrosis	D75.81	11	D37-D48	Myelofibrosis
KMN110	Myelomonocytic_Leukemia	NO_DATA	4	C81-C96	Myelomonocytic Leukemia
KMN111	Myelomonocytic_Leukemia_Variant:_Increase_in_Abnormal_Marrow_Eosinophils	NO_DATA	3	C81-C96	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils
KMN479	Myoadenylate_Deaminase_Deficiency	E79.2	1	E70-E90	Myoadenylate Deaminase Deficiency
KMN726	Myocardial_Infarction	NO_DATA	61	I20-I25	Myocardial Infarction
KMN690	Myotonia_Congenita	G71.12	1	G70-G73	Myotonia Congenita
KMN648	Myotonic_Dystrophy_Type_1	NO_DATA	22	G70-G73	Myotonic Dystrophy Type 1
KMN649	Myotonic_Dystrophy_Type_2	NO_DATA	6	G70-G73	Myotonic Dystrophy Type 2
KMN150	Myxoma	NO_DATA	4	D10-D36	Myxoma
KMN383	N-Acetylglutamate_Synthase_Deficiency	NO_DATA	1	E70-E90	N-Acetylglutamate Synthase Deficiency
KMN659	Na_channel_myotonia	NO_DATA	1	G70-G73	Na channel myotonia
KMN892	Nail-Patella_Syndrome	NO_DATA	5	Q80-Q89	Nail-Patella Syndrome
KMN660	Nemaline_Myopathy	G71.21	9	G70-G73	Nemaline Myopathy
KMN59	Nephroblastoma	NO_DATA	3	C64-C68	Nephroblastoma
KMN837	Nephrolithiasis	NO_DATA	7	N20-N23	Nephrolithiasis
KMN861	Nephronophthisis	NO_DATA	3	Q60-Q64	Nephronophthisis
KMN24	Nesidioblastosis_of_Pancreas	NO_DATA	2	C15-C26	Nesidioblastosis of Pancreas
KMN269	Netherton_Syndrome	NO_DATA	1	D80-D89	Netherton Syndrome
KMN76	Neuroblastoma	NO_DATA	65	C73-C75	Neuroblastoma
KMN147	Neuroendocrine_Tumor	NO_DATA	113	D10-D36	Neuroendocrine Tumor
KMN888	Neurofibromatosis_Type_1	NO_DATA	5	Q80-Q89	Neurofibromatosis Type 1
KMN889	Neurofibromatosis_Type_2	NO_DATA	42	Q80-Q89	Neurofibromatosis Type 2
KMN688	Neuromyotonia	NO_DATA	0	G70-G73	Neuromyotonia
KMN552	Neuronal_ceroid-lipofuscinosis	NO_DATA	6	E70-E90	Neuronal ceroid-lipofuscinosis
KMN237	Neutropenia	D70	23	D70-D77	Neutropenia
KMN447	Niemann-Pick_Disease	E75.24	2	E70-E90	Niemann-Pick Disease
KMN267	Nijmegen_Breakage_Syndrome	NO_DATA	1	D80-D89	Nijmegen Breakage Syndrome
KMN115	Nodular_Lymphocyte-Predominant_Hodgkin_s_Lymphoma	NO_DATA	6	C81-C96	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma
KMN125	Non-Hodgkin_s_Lymphoma	NO_DATA	44	C81-C96	Non-Hodgkin's Lymphoma
KMN727	Non-ST-Elevation_Myocardial_Infarction	NO_DATA	11	I20-I25	Non-ST-Elevation Myocardial Infarction
KMN30	Non-Small_Cell_Lung_Cancer	NO_DATA	112	C30-C39	Non-Small Cell Lung Cancer
KMN771	Nonalcoholic_Fatty_Liver_Disease	NO_DATA	96	K70-K77	Nonalcoholic Fatty Liver Disease
KMN570	Nonketotic_hyperglycinemia-type_I	NO_DATA	2	E70-E90	Nonketotic hyperglycinemia-type I
KMN57	Nonseminoma	NO_DATA	9	C60-C63	Nonseminoma
KMN268	Nude_Syndrome	NO_DATA	1	D80-D89	Nude Syndrome
KMN373	Obesity	NO_DATA	38	E65-E68	Obesity
KMN372	Obesity_in_endocrine_disease	NO_DATA	7	E65-E68	Obesity in endocrine disease
KMN668	Oculopharyngeal_Muscular_Dystrophy	NO_DATA	5	G70-G73	Oculopharyngeal Muscular Dystrophy
KMN69	Oligo-astrocytoma	NO_DATA	1	C69-C72	Oligo-astrocytoma
KMN63	Oligoastrocytoma	NO_DATA	1	C69-C72	Oligoastrocytoma
KMN70	Oligodendroglioma	NO_DATA	6	C69-C72	Oligodendroglioma
KMN263	Omenn_Syndrome	NO_DATA	2	D80-D89	Omenn Syndrome
KMN817	Oncogenic_Osteomalacia	NO_DATA	6	M80-M85	Oncogenic Osteomalacia
KMN598	Opsoclonus-Myoclonus	NO_DATA	9	G20-G26	Opsoclonus-Myoclonus
KMN406	Ornithine_Transcarbamylase_Deficiency	NO_DATA	1	E70-E90	Ornithine Transcarbamylase Deficiency
KMN407	Orotic_Aciduria	NO_DATA	2	E70-E90	Orotic Aciduria
KMN795	Osteoarthritis	NO_DATA	151	M15-M19	Osteoarthritis
KMN142	Osteochondroma	NO_DATA	1	D10-D36	Osteochondroma
KMN867	Osteogenesis_Imperfecta	Q78.0	2	Q65-Q79	Osteogenesis Imperfecta
KMN871	Osteopetrosis	Q78.2	10	Q65-Q79	Osteopetrosis
KMN816	Osteoporosis	NO_DATA	191	M80-M85	Osteoporosis
KMN32	Osteosarcoma	NO_DATA	2	C40-C41	Osteosarcoma
KMN53	Ovarian_Cancer	NO_DATA	160	C51-C58	Ovarian Cancer
KMN351	Ovarian_Failure	NO_DATA	6	E20-E35	Ovarian Failure
KMN89	POEMS_Syndrome	NO_DATA	25	C81-C96	POEMS Syndrome
KMN385	PRPP_synthetase_deficiency	NO_DATA	5	E70-E90	PRPP synthetase deficiency
KMN384	PRPP_synthetase_super-activity	NO_DATA	6	E70-E90	PRPP synthetase super-activity
KMN819	Paget_Disease_of_Bone	NO_DATA	23	M86-M90	Paget Disease of Bone
KMN22	Pancreatic_Cancer	NO_DATA	138	C15-C26	Pancreatic Cancer
KMN23	Pancreatic_Endocrine_Tumor	NO_DATA	15	C15-C26	Pancreatic Endocrine Tumor
KMN178	Pancreatic_Neuroendocrine_Tumor	NO_DATA	108	D37-D48	Pancreatic Neuroendocrine Tumor
KMN349	Panhypopituitarism	NO_DATA	2	E20-E35	Panhypopituitarism
KMN785	Papular_Mucinosis	NO_DATA	4	L80-L99	Papular Mucinosis
KMN689	Paramyotonia_Congenita	NO_DATA	1	G70-G73	Paramyotonia Congenita
KMN608	Paraneoplastic_Cerebellar_Ataxia	NO_DATA	4	G30-G32	Paraneoplastic Cerebellar Ataxia
KMN609	Paraneoplastic_Cerebellar_Degeneration	NO_DATA	21	G30-G32	Paraneoplastic Cerebellar Degeneration
KMN582	Paraneoplastic_Encephalomyelitis	NO_DATA	7	G00-G09	Paraneoplastic Encephalomyelitis
KMN703	Paraneoplastic_Retinopathy	NO_DATA	3	H30-H36	Paraneoplastic Retinopathy
KMN642	Paraneoplastic_Sensory_Neuronopathy	NO_DATA	4	G50-G59	Paraneoplastic Sensory Neuronopathy
KMN595	Parkinson_s_Disease	G20	115	G20-G26	Parkinson's Disease
KMN194	Paroxysmal_Nocturnal_Hemoglobinuria	NO_DATA	3	D55-D59	Paroxysmal Nocturnal Hemoglobinuria
KMN844	Pathologic_Gynecomastia	NO_DATA	3	N60-N64	Pathologic Gynecomastia
KMN364	Pellagra	NO_DATA	2	E50-E64	Pellagra
KMN761	Peptic_Ulcer_Disease	NO_DATA	89	K20-K31	Peptic Ulcer Disease
KMN13	Periodic_Fever_Syndrome	NO_DATA	7	B50-B64	Periodic Fever Syndrome
KMN46	Peripheral_Nerve_Sheath_Tumors	NO_DATA	4	C45-C49	Peripheral Nerve Sheath Tumors
KMN126	Peripheral_T_Cell_Lymphoma	NO_DATA	13	C81-C96	Peripheral T Cell Lymphoma
KMN181	Pernicious_Anemia	NO_DATA	5	D50-D53	Pernicious Anemia
KMN855	Persistent_Mullerian_Duct_syndrome	NO_DATA	2	Q50-Q56	Persistent Mullerian Duct syndrome
KMN848	Persistent_hyperinsulinemic_hypoglycemia_of_infancy	NO_DATA	5	P70-P74	Persistent hyperinsulinemic hypoglycemia of infancy
KMN462	Phenylketonuria_Type_I	NO_DATA	3	E70-E90	Phenylketonuria Type I
KMN461	Phenylketonuria_Type_II	NO_DATA	1	E70-E90	Phenylketonuria Type II
KMN460	Phenylketonuria_Type_III	NO_DATA	1	E70-E90	Phenylketonuria Type III
KMN140	Pheochromocytoma	NO_DATA	47	D10-D36	Pheochromocytoma
KMN473	Phosphoglycerate_Dehydrogenase_Deficiency	NO_DATA	2	E70-E90	Phosphoglycerate Dehydrogenase Deficiency
KMN472	Phosphoglycerate_Kinase_Deficiency	NO_DATA	6	E70-E90	Phosphoglycerate Kinase Deficiency
KMN474	Phosphoglycerate_Mutase_Deficiency	NO_DATA	5	E70-E90	Phosphoglycerate Mutase Deficiency
KMN72	Pilocytic_astrocytoma	NO_DATA	1	C69-C72	Pilocytic astrocytoma
KMN157	Pituitary_Tumor	NO_DATA	18	D37-D48	Pituitary Tumor
KMN98	Plasma-cell_Leukaemia	NO_DATA	3	C81-C96	Plasma-cell Leukaemia
KMN210	Plasminogen_Activator_Inhibitor_1_Deficiency	NO_DATA	4	D65-D69	Plasminogen Activator Inhibitor 1 Deficiency
KMN746	Pneumonia	NO_DATA	18	J10-J18	Pneumonia
KMN802	Polyarteritis_Nodosa	M30.0	44	M30-M36	Polyarteritis Nodosa
KMN346	Polycystic_Ovarian_Syndrome	E28.2	5	E20-E35	Polycystic Ovarian Syndrome
KMN238	Polycythemia	NO_DATA	13	D70-D77	Polycythemia
KMN165	Polycythemia_Vera	D45	18	D37-D48	Polycythemia Vera
KMN557	Polygenic_Hypercholesterolemia	NO_DATA	2	E70-E90	Polygenic Hypercholesterolemia
KMN344	Polyglandular_Autoimmune_Syndrome_Type_I	NO_DATA	1	E20-E35	Polyglandular Autoimmune Syndrome Type I
KMN345	Polyglandular_Autoimmune_Syndrome_Type_II	NO_DATA	11	E20-E35	Polyglandular Autoimmune Syndrome Type II
KMN809	Polymyositis	M33.2	122	M30-M36	Polymyositis
KMN149	Polyposis_Coli	NO_DATA	1	D10-D36	Polyposis Coli
KMN569	Porphyria_Cutanea_Tarda	E80.1	4	E70-E90	Porphyria Cutanea Tarda
KMN896	Postural_Orthostatic_Tachycardia_Syndrome	NO_DATA	4	R00-R09	Postural Orthostatic Tachycardia Syndrome
KMN881	Prader-Willi_Syndrome	Q87.11	15	Q80-Q89	Prader-Willi Syndrome
KMN120	Precursor_B_Cell_Acute_Lymphoid_Leukemia	NO_DATA	48	C81-C96	Precursor B Cell Acute Lymphoid Leukemia
KMN121	Precursor_T_cell_Lymphoblastic_Lymphoma	NO_DATA	4	C81-C96	Precursor T cell Lymphoblastic Lymphoma
KMN637	Predominant_Sensory_Demyelinating_Neuropathy	NO_DATA	1	G50-G59	Predominant Sensory Demyelinating Neuropathy
KMN847	Preeclampsia	NO_DATA	68	O10-O16	Preeclampsia
KMN332	Primary_Aldosteronism	NO_DATA	4	E20-E35	Primary Aldosteronism
KMN769	Primary_Biliary_Cirrhosis	K74.3	53	K70-K77	Primary Biliary Cirrhosis
KMN116	Primary_Effusion_Lymphoma	NO_DATA	4	C81-C96	Primary Effusion Lymphoma
KMN534	Primary_Hypoalphalipoproteinemia	NO_DATA	1	E70-E90	Primary Hypoalphalipoproteinemia
KMN533	Primary_Lactase_Deficiency	NO_DATA	2	E70-E90	Primary Lactase Deficiency
KMN728	Primary_Pulmonary_Hypertension	I27.0	163	I26-I28	Primary Pulmonary Hypertension
KMN119	Primary_Testicular_Lymphoma	NO_DATA	18	C81-C96	Primary Testicular Lymphoma
KMN665	Primary_merosin_deficiency	NO_DATA	1	G70-G73	Primary merosin deficiency
KMN71	Primitive_Neuroectodermal_Tumor	NO_DATA	4	C69-C72	Primitive Neuroectodermal Tumor
KMN343	Progeria	NO_DATA	34	E20-E35	Progeria
KMN868	Progressive_Diaphyseal_Dysplasia	Q78.3	1	Q65-Q79	Progressive Diaphyseal Dysplasia
KMN770	Progressive_Familial_Intrahepatic_Cholestasis	NO_DATA	10	K70-K77	Progressive Familial Intrahepatic Cholestasis
KMN599	Progressive_Supranuclear_Palsy	NO_DATA	1	G20-G26	Progressive Supranuclear Palsy
KMN368	Prohormone_convertase_1_gene_mutation	NO_DATA	2	E65-E68	Prohormone convertase 1 gene mutation
KMN467	Prolidase_Deficiency	NO_DATA	3	E70-E90	Prolidase Deficiency
KMN466	Propionic_Acidemia	E71.121	10	E70-E90	Propionic Acidemia
KMN56	Prostate_Cancer	NO_DATA	119	C60-C63	Prostate Cancer
KMN843	Prostatic_hypertrophy	NO_DATA	3	N40-N51	Prostatic hypertrophy
KMN211	Protein_C_Deficiency	NO_DATA	1	D65-D69	Protein C Deficiency
KMN212	Protein_S_Deficiency	NO_DATA	3	D65-D69	Protein S Deficiency
KMN213	Prothrombin_Deficiency	NO_DATA	1	D65-D69	Prothrombin Deficiency
KMN528	Pseudohypoaldosteronism	NO_DATA	11	E70-E90	Pseudohypoaldosteronism
KMN331	Pseudohypoparathyroidism	E20.1	6	E20-E35	Pseudohypoparathyroidism
KMN330	Pseudopseudohypoparathyroidism	NO_DATA	3	E20-E35	Pseudopseudohypoparathyroidism
KMN783	Psoriasis	L40	190	L40-L45	Psoriasis
KMN787	Psoriatic_Arthritis	NO_DATA	24	M05-M14	Psoriatic Arthritis
KMN757	Pulmonary_Alveolar_Proteinosis	NO_DATA	14	J80-J84	Pulmonary Alveolar Proteinosis
KMN756	Pulmonary_Edema	J81	29	J80-J84	Pulmonary Edema
KMN730	Pulmonary_Embolism	I26	3	I26-I28	Pulmonary Embolism
KMN151	Pulmonary_Lymphangioleiomyomatosis	NO_DATA	3	D10-D36	Pulmonary Lymphangioleiomyomatosis
KMN729	Pulmonary_Thromboembolism	NO_DATA	6	I26-I28	Pulmonary Thromboembolism
KMN270	Purine_Nucleoside_Phosphorylase_Deficiency	NO_DATA	3	D80-D89	Purine Nucleoside Phosphorylase Deficiency
KMN875	Pyknodysostosis	NO_DATA	1	Q65-Q79	Pyknodysostosis
KMN454	Pyrimidine_5_-Nucleotidase_Deficiency	NO_DATA	2	E70-E90	Pyrimidine 5'-Nucleotidase Deficiency
KMN455	Pyruvate_Kinase_Deficiency	NO_DATA	1	E70-E90	Pyruvate Kinase Deficiency
KMN296	Rabson-Mendenhall_syndrome	NO_DATA	1	E10-E14	Rabson-Mendenhall syndrome
KMN793	Reactive_Arthritis	NO_DATA	113	M05-M14	Reactive Arthritis
KMN174	Refractory_anemia	NO_DATA	5	D37-D48	Refractory anemia
KMN632	Refsum_Disease	NO_DATA	2	G50-G59	Refsum Disease
KMN821	Relapsing_Polychondritis	M94.1	24	M91-M94	Relapsing Polychondritis
KMN60	Renal_Cell_Carcinoma	NO_DATA	39	C64-C68	Renal Cell Carcinoma
KMN717	Renal_Parenchymal_Hypertension	NO_DATA	17	I10-I15	Renal Parenchymal Hypertension
KMN842	Renal_osteodystrophy	N25.0	3	N25-N29	Renal osteodystrophy
KMN716	Renovascular_Hypertension	I15.0	6	I10-I15	Renovascular Hypertension
KMN216	Resistance_to_Activated_Protein_C	NO_DATA	2	D65-D69	Resistance to Activated Protein C
KMN287	Resistance_to_Thyroid_Hormone	NO_DATA	4	E00-E07	Resistance to Thyroid Hormone
KMN597	Restless_Legs_Syndrome	G25.81	24	G20-G26	Restless Legs Syndrome
KMN738	Restrictive_Cardiomyopathy	NO_DATA	9	I30-I52	Restrictive Cardiomyopathy
KMN73	Retinoblastoma	NO_DATA	11	C69-C72	Retinoblastoma
KMN578	Rett_Syndrome	NO_DATA	1	F80-F89	Rett Syndrome
KMN39	Rhabdomyosarcoma	NO_DATA	6	C45-C49	Rhabdomyosarcoma
KMN710	Rheumatic_fever	NO_DATA	15	I00-I02	Rheumatic fever
KMN788	Rheumatoid_Arthritis	NO_DATA	390	M05-M14	Rheumatoid Arthritis
KMN353	Rogers__Syndrome	NO_DATA	1	E50-E64	Rogers' Syndrome
KMN503	Rotor_s_syndrome	NO_DATA	1	E70-E90	Rotor's syndrome
KMN794	SAPHO_Syndrome	NO_DATA	1	M15-M19	SAPHO Syndrome
KMN720	ST-Segment_Elevation_Myocardial_Infarction	NO_DATA	90	I20-I25	ST-Segment Elevation Myocardial Infarction
KMN424	Sandhoff_s_Disease	NO_DATA	3	E70-E90	Sandhoff's Disease
KMN265	Sarcoidosis	D86	93	D80-D89	Sarcoidosis
KMN423	Sarcosinemia	NO_DATA	3	E70-E90	Sarcosinemia
KMN864	Schimke_Immuno-Osseous_Dysplasia	NO_DATA	1	Q65-Q79	Schimke Immuno-Osseous Dysplasia
KMN574	Schizophrenia	F20	58	F20-F29	Schizophrenia
KMN146	Schwannoma	NO_DATA	1	D10-D36	Schwannoma
KMN654	Schwartz-Jampel_syndrome_(chondrodystrophic_myotonia)	NO_DATA	1	G70-G73	Schwartz-Jampel syndrome (chondrodystrophic myotonia)
KMN206	Sebastian_syndrome	NO_DATA	16	D65-D69	Sebastian syndrome
KMN55	Seminoma	NO_DATA	8	C60-C63	Seminoma
KMN636	Sensory_Neuronopathy	NO_DATA	4	G50-G59	Sensory Neuronopathy
KMN3	Sepsis	NO_DATA	139	A30-A49	Sepsis
KMN851	Septo-Optic_Dysplasia	NO_DATA	5	Q00-Q07	Septo-Optic Dysplasia
KMN48	Sertoli_Cell_Tumor	NO_DATA	1	C51-C58	Sertoli Cell Tumor
KMN901	Severe_Acute_Respiratory_Syndrome	NO_DATA	74	U00-U49	Severe Acute Respiratory Syndrome
KMN277	Severe_Combined_Immunodeficiency	NO_DATA	12	D80-D89	Severe Combined Immunodeficiency
KMN623	Severe_myoclonic_epilepsy_of_infancy	NO_DATA	1	G40-G47	Severe myoclonic epilepsy of infancy
KMN96	Sezary_Syndrome	NO_DATA	18	C81-C96	Sezary Syndrome
KMN425	Sialidosis	NO_DATA	1	E70-E90	Sialidosis
KMN284	Sick_Euthyroid_Syndrome	NO_DATA	6	E00-E07	Sick Euthyroid Syndrome
KMN191	Sickle_Cell_Syndrome	NO_DATA	11	D55-D59	Sickle Cell Syndrome
KMN428	Sitosterolemia	NO_DATA	5	E70-E90	Sitosterolemia
KMN799	Sjogren_s_Syndrome	NO_DATA	127	M30-M36	Sjogren's Syndrome
KMN621	Sleep_Apnea	G47.3	169	G40-G47	Sleep Apnea
KMN25	Small_Cell_Lung_Cancer	NO_DATA	144	C30-C39	Small Cell Lung Cancer
KMN44	Soft_Tissue_Sarcoma	NO_DATA	36	C45-C49	Soft Tissue Sarcoma
KMN172	Soft_Tissue_Tumor	NO_DATA	73	D37-D48	Soft Tissue Tumor
KMN138	Somatostatinoma_Syndrome	NO_DATA	1	D10-D36	Somatostatinoma Syndrome
KMN592	Spinal_Muscular_Atrophy	NO_DATA	22	G10-G13	Spinal Muscular Atrophy
KMN610	Spinocerebellar_Ataxia	NO_DATA	24	G30-G32	Spinocerebellar Ataxia
KMN196	Spur_Cell_Anemia	NO_DATA	1	D55-D59	Spur Cell Anemia
KMN28	Squamous_Tumor_of_Lung_Cancer	NO_DATA	9	C30-C39	Squamous Tumor of Lung Cancer
KMN655	Stiff-Person_Syndrome	NO_DATA	7	G70-G73	Stiff-Person Syndrome
KMN852	Subcortical_ectopic_gray_matter	NO_DATA	2	Q00-Q07	Subcortical ectopic gray matter
KMN899	Sudden_Infant_Death_Syndrome	NO_DATA	115	R95-R99	Sudden Infant Death Syndrome
KMN435	Sulfocysteinuria	NO_DATA	3	E70-E90	Sulfocysteinuria
KMN279	Surrogate_Light_Chain_Deficiency	NO_DATA	1	D80-D89	Surrogate Light Chain Deficiency
KMN333	Syndrome_of_Inappropriate_Antidiuretic_Hormone_Secretion	NO_DATA	7	E20-E35	Syndrome of Inappropriate Antidiuretic Hormone Secretion
KMN40	Synovial_Sarcoma	NO_DATA	7	C45-C49	Synovial Sarcoma
KMN807	Systemic_Lupus_Erythematosus	NO_DATA	111	M30-M36	Systemic Lupus Erythematosus
KMN891	Systemic_Mastocytosis	D47.02	10	Q80-Q89	Systemic Mastocytosis
KMN808	Systemic_Sclerosis	NO_DATA	162	M30-M36	Systemic Sclerosis
KMN90	T-cell_Acute_Lymphoid_Leukemia	NO_DATA	62	C81-C96	T-cell Acute Lymphoid Leukemia
KMN233	TNF-alpha_Receptor-associated_Periodic_Syndrome	NO_DATA	1	D70-D77	TNF-alpha Receptor-associated Periodic Syndrome
KMN141	TSH-Secreting_Adenomas	NO_DATA	5	D10-D36	TSH-Secreting Adenomas
KMN254	T_Cell_Receptor_Deficiency	NO_DATA	12	D80-D89	T Cell Receptor Deficiency
KMN436	Tangier_Disease	NO_DATA	4	E70-E90	Tangier Disease
KMN442	Tay-Sachs_Disease	E75.02	3	E70-E90	Tay-Sachs Disease
KMN159	Teratoma	NO_DATA	7	D37-D48	Teratoma
KMN357	Thiamine_Deficiency	E51	3	E50-E64	Thiamine Deficiency
KMN835	Thin_Basement_Membrane_Nephropathy	NO_DATA	2	N00-N08	Thin Basement Membrane Nephropathy
KMN658	Thomsen_s_Disease	NO_DATA	1	G70-G73	Thomsen's Disease
KMN803	Thrombotic_Thrombocytopenic_Purpura	NO_DATA	5	M30-M36	Thrombotic Thrombocytopenic Purpura
KMN438	Thymidine_Phosphorylase_Deficiency	NO_DATA	1	E70-E90	Thymidine Phosphorylase Deficiency
KMN289	Thyroid_Disease	NO_DATA	14	E00-E07	Thyroid Disease
KMN75	Thyroid_Neoplasia	NO_DATA	29	C73-C75	Thyroid Neoplasia
KMN695	Tibial_Muscular_Dystrophy	NO_DATA	5	G70-G73	Tibial Muscular Dystrophy
KMN273	Transient_Hypogammaglobulinemia_of_Infancy	D80.7	4	D80-D89	Transient Hypogammaglobulinemia of Infancy
KMN367	Trichothiodystrophy	NO_DATA	14	E50-E64	Trichothiodystrophy
KMN445	Tryptophan_Malabsorption	NO_DATA	0	E70-E90	Tryptophan Malabsorption
KMN446	Tryptophanuria	NO_DATA	2	E70-E90	Tryptophanuria
KMN2	Tuberculosis	NO_DATA	3	A15-A19	Tuberculosis
KMN884	Tuberous_Sclerosis	Q85.1	2	Q80-Q89	Tuberous Sclerosis
KMN62	Turcot_Syndrome	NO_DATA	1	C69-C72	Turcot Syndrome
KMN292	Type_1_Diabetes_Mellitus	E10	84	E10-E14	Type 1 Diabetes Mellitus
KMN838	Type_1_Renal_Tubular_Acidosis	NO_DATA	1	N25-N29	Type 1 Renal Tubular Acidosis
KMN293	Type_2_Diabetes_Mellitus	E11	169	E10-E14	Type 2 Diabetes Mellitus
KMN839	Type_2_Renal_Tubular_Acidosis	NO_DATA	1	N25-N29	Type 2 Renal Tubular Acidosis
KMN840	Type_3_Renal_Tubular_Acidosis	NO_DATA	1	N25-N29	Type 3 Renal Tubular Acidosis
KMN841	Type_4_Renal_Tubular_Acidosis	NO_DATA	2	N25-N29	Type 4 Renal Tubular Acidosis
KMN758	Type_A_Gastritis	NO_DATA	7	K20-K31	Type A Gastritis
KMN295	Type_A_insulin_resistance	NO_DATA	2	E10-E14	Type A insulin resistance
KMN441	Tyrosinemia_Type_I	NO_DATA	3	E70-E90	Tyrosinemia Type I
KMN440	Tyrosinemia_Type_II	NO_DATA	3	E70-E90	Tyrosinemia Type II
KMN439	Tyrosinemia_Type_III	NO_DATA	3	E70-E90	Tyrosinemia Type III
KMN763	Ulcerative_Colitis	K51	70	K50-K52	Ulcerative Colitis
KMN618	Unverricht-Lundborg_disease	NO_DATA	1	G40-G47	Unverricht-Lundborg disease
KMN404	Ureidopropionase_Deficiency	NO_DATA	1	E70-E90	Ureidopropionase Deficiency
KMN792	Uric_Acid_Nephropathy	NO_DATA	4	M05-M14	Uric Acid Nephropathy
KMN403	Uridine_Diphosphate_Galactose_4-Epimerase_Deficiency	NO_DATA	1	E70-E90	Uridine Diphosphate Galactose 4-Epimerase Deficiency
KMN836	Urinary_Tract_Obstruction	NO_DATA	12	N10-N16	Urinary Tract Obstruction
KMN405	Urocanic_Aciduria	NO_DATA	5	E70-E90	Urocanic Aciduria
KMN784	Urticaria	L50	70	L50-L54	Urticaria
KMN700	Uveitis	NO_DATA	1	H15-H22	Uveitis
KMN560	Variegate_Porphyria	NO_DATA	6	E70-E90	Variegate Porphyria
